image_path,mask_path
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0196\patient0196_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0196\patient0196_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0196\patient0196_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0196\patient0196_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0196\patient0196_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0196\patient0196_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0196\patient0196_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0196\patient0196_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0002\patient0002_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0002\patient0002_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0002\patient0002_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0002\patient0002_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0002\patient0002_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0002\patient0002_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0002\patient0002_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0002\patient0002_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0214\patient0214_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0214\patient0214_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0214\patient0214_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0214\patient0214_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0214\patient0214_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0214\patient0214_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0214\patient0214_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0214\patient0214_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0348\patient0348_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0348\patient0348_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0348\patient0348_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0348\patient0348_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0348\patient0348_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0348\patient0348_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0348\patient0348_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0348\patient0348_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0267\patient0267_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0267\patient0267_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0267\patient0267_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0267\patient0267_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0267\patient0267_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0267\patient0267_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0267\patient0267_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0267\patient0267_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0068\patient0068_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0068\patient0068_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0068\patient0068_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0068\patient0068_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0068\patient0068_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0068\patient0068_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0068\patient0068_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0068\patient0068_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0370\patient0370_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0370\patient0370_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0370\patient0370_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0370\patient0370_2CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0370\patient0370_4CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0370\patient0370_4CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0370\patient0370_4CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0370\patient0370_4CH_ES_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0438\patient0438_2CH_ED.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0438\patient0438_2CH_ED_gt.mhd
C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0438\patient0438_2CH_ES.mhd,C:\Users\betza\OneDrive\Desktop\camus_data\training\patient0438\patient0438_2CH_ES_gt.mhd
